Name,Author,Category,Language,Level,Topic,URL
Master Claude Code in a Weekend,luongnv89,Learning materials,English,⭐,General,https://github.com/luongnv89/claude-howto
Claude Code for Applied Economists,Paul Goldsmith-Pinkham,Learning materials,English,⭐,Research Application,https://paulgp.substack.com/p/getting-started-with-claude-code
My Claude Code Setup,Pedro H. C. Sant'Anna,Application tools,English,,"Research Application, Workflow",https://psantanna.com/claude-code-my-workflow/workflow-guide.html#sec-setup
PROJECT APE,David Yanagizawa-Drott,Application tools,English,⭐⭐⭐,Research Application,https://ape.socialcatalystlab.org/
JPE副主编的AI论文工厂全流程拆解,,Learning materials,Chinese,⭐⭐,"Research Application, Workflow",https://mp.weixin.qq.com/s/Ommew4Lwoz1OrdhtGrRWuA
Claude Code for Academics,Alessandro Spina,Application tools,English,⭐⭐,Workflow,https://github.com/aspi6246/Claude-Code-Presentation
AI Agents for Economics Research,Aniket Panjwani,Learning materials,English,⭐,General,https://ai-mba.io/tutorials/ai-agents-for-economics-research
Claude Code WRDS Toolkit,Piotr Orłowski,Application tools,English,⭐⭐,"Research Application, Skills & MCP",https://github.com/piotrek-orlowski/claude-wrds-public
Claude Code WRDS Toolkit (extended fork),"Piotr Orłowski, Siyang Liu",Application tools,English,,Research Application,https://github.com/lsy617004926/claude-wrds-public
Claude Code skills for asset pricing,Alexander Dickerson,Application tools,English,⭐⭐⭐,Skills & MCP,https://github.com/Alexander-M-Dickerson/ai-asset-pricing
How I Wrote an Academic Paper in Four Days,Vincent Grégoire,Learning materials,English,⭐⭐,"Research Application, Workflow",https://vincent.codes.finance/posts/vibe-research-paper/
How to Create a Stata Skill in Claude Code,Aniket Panjwani,Learning materials,English,⭐⭐,"Research Application, Skills & MCP, Stata",https://ai-mba.io/tutorials/how-to-create-a-stata-skill
Research Idea Evaluation Pipeline,Alejandro Lopez-Lira,Application tools,English,⭐⭐,"Skills & MCP, Workflow",https://github.com/alejandroll10/idea-evaluation-pipeline
Claude Code for New Project,Alessandro Spina,Application tools,English,⭐⭐,Workflow,https://github.com/aspi6246/Claude-Code-NewProject
AI in Finance,Arpit Gupta,Learning materials,English,⭐⭐,"General, Research Application",https://github.com/arpitrage/ai-in-finance
效傲江湖AI系列,,Learning materials,Chinese,⭐,"General, Research Application",https://mp.weixin.qq.com/s/oHtZKjtIFp0eh2zAo6XqQA
Corbis Literature Starter Kit,"Cayman Seagraves, Stace Sirmans",Application tools,English,⭐⭐,"Skills & MCP, Workflow",https://github.com/Agentic-Assets/corbis-literature-starter-kit
avoid-ai-writing,Conor Bronsdon,Application tools,English,⭐⭐,Skills & MCP,https://github.com/conorbronsdon/avoid-ai-writing
"Claude Code For Total Beginners (3 Hour Course, 2026)",Aniket Panjwani,Learning materials,English,⭐,General,https://www.youtube.com/watch?app=desktop&v=HR1lI4V0oKE
AI in Business & Economic Research,Mihail Velikov,Learning materials,English,⭐⭐,General,https://velikov-mihail.github.io/ai-econ-wiki/
Agent Skill Index,,Application tools,English,⭐⭐⭐,Resource,https://github.com/heilcheng/awesome-agent-skills
academic-research-skills (Skills Bundle for Econ/Finance),Weikai Li,Application tools,English,⭐⭐,"Resource, Skills & MCP, Stata",https://github.com/franklee16/academic-research-skills
claude-code-my-workflow,Pedro H. C. Sant'Anna,Application tools,English,⭐⭐⭐,"Skills & MCP, Workflow",https://github.com/pedrohcgs/claude-code-my-workflow
Awesome Econ AI Stuff (AI Skills for Economists),Antonio Mele,Application tools,English,⭐⭐,"Resource, Skills & MCP, Stata",https://meleantonio.github.io/awesome-econ-ai-stuff/
clo-author (17-Agent Paper-Centric Workflow),Hugo Sant'Anna,Application tools,English,⭐⭐⭐,"Research Application, Skills & MCP, Workflow",https://github.com/hugosantanna/clo-author
claudeblattman: AI Workflows for Academics,Chris Blattman,Learning materials,English,⭐⭐,"General, Workflow",https://claudeblattman.com
Resources for Economists (AI & Macro/Finance),Raul Guarini Riva,Learning materials,English,⭐,Resource,https://rgriva.github.io/resources
awesome-ai-for-economists (Curated List),OpenEcon team,Application tools,English,⭐⭐,"Resource, Skills & MCP",https://github.com/hanlulong/awesome-ai-for-economists
Claude Code for Economists,Aniket Panjwani,Learning materials,English,⭐⭐,"General, Workflow",https://ai-mba.io/cohorts/claude-code-economists
Claude Code Application by Scott Cunningham,Scott Cunningham,Application tools,English,⭐⭐,"Research Application, Skills & MCP",https://causalinf.substack.com/s/claude-code/archive?sort=new
Academic Presentations Skill for Claude (plus basic PDF summary of general advice),David Hirshleifer,Application tools,English,,Skills & MCP,https://github.com/Gabberflast/academic-pptx-skill
Claude Code in VS Code for Academic Economists,Claes Bäckman,Learning materials,English,⭐,"Setup, Workflow",https://claesbackman.com/claude-code-guide.html
Thinking with Agents,"Emily Beam, Erkmen G. Aslim",Application tools,English,⭐⭐⭐,"Research Application, Skills & MCP, Workflow",https://thinkingwithagents.github.io/
Institute for Automated Research,Alejandro Lopez-Lira,Application tools,English,,Research Application,https://instituteforautomatedresearch.org/
